Generation,Survivors,Avg. survivors,Avg. Sep,Sd. Sep,Avg. Align,Sd. Align,Avg. Coh,Sd. Coh
280,0.76,0.6995,0.276755,0.0468146,0.27725,0.0535732,0.445994,0.0555009
281,0.735,0.707,0.275888,0.044361,0.27446,0.0527304,0.449652,0.048732
282,0.65,0.708,0.277903,0.0402543,0.273434,0.0501053,0.448663,0.0469708
283,0.725,0.7085,0.27797,0.0419926,0.276806,0.0449128,0.445224,0.0436034
284,0.655,0.6975,0.274981,0.0414881,0.280615,0.0417971,0.444404,0.0405234
285,0.39,0.649,0.268704,0.0355443,0.282044,0.0421682,0.449251,0.0415128
286,0.775,0.656,0.269712,0.0365664,0.287317,0.050378,0.442971,0.0485344
287,0.845,0.7015,0.270288,0.0372461,0.287783,0.0457006,0.441929,0.0444091
288,0.72,0.697,0.271364,0.0405207,0.28058,0.057655,0.448057,0.0562711
289,0.78,0.7035,0.273331,0.0421981,0.284354,0.0638094,0.442315,0.0616392
290,0.625,0.69,0.277982,0.046801,0.275136,0.0682652,0.446882,0.0646924
291,0.625,0.679,0.277843,0.0480244,0.273346,0.0640825,0.448811,0.0615767
292,0.77,0.691,0.271491,0.0453079,0.271557,0.0586641,0.456952,0.0509861
293,0.68,0.6865,0.276685,0.0485309,0.262491,0.0574402,0.460824,0.0518457
294,0.845,0.7055,0.273432,0.0498143,0.270224,0.053667,0.456344,0.0540615
295,0.66,0.7325,0.270152,0.0452754,0.27809,0.0483623,0.451758,0.048955
296,0.74,0.729,0.271365,0.048361,0.275612,0.0486577,0.453023,0.0493492
297,0.715,0.716,0.265858,0.0427256,0.279463,0.0480422,0.454679,0.0538372
